t,<x^2>,Std Error of Mean,"F_s(q1,R(t))","F_s(q2,R(t))","F_s(q3,R(t))",StdErrorOfMeanRq1,StdErrorOfMeanRq2,StdErrorOfMeanRq3
119,121.413,7.14346,0.885859,-0.0560636,-0.00511786,0.00637532,0.0291829,0.028906
120,123.093,7.2586,0.884396,-0.0557716,0.0155435,0.00645494,0.028867,0.0289367
121,123.947,7.24772,0.883568,-0.0401223,-0.0106176,0.00646236,0.0284537,0.028038
122,124.853,7.2499,0.882703,-0.0235727,0.0289421,0.00647045,0.0295765,0.0280224
123,126.493,7.32205,0.881227,-0.00777788,-0.0374025,0.00652608,0.0279427,0.0281522
124,126.027,7.32683,0.881682,-0.0160488,0.0289214,0.00653266,0.0294379,0.0282653
125,126.333,7.4001,0.881491,0.00177418,-0.0302962,0.00659937,0.0284048,0.0284769
126,128.987,7.53871,0.879142,0.000145039,0.0119858,0.00671772,0.0296217,0.0289459
127,130.48,7.65993,0.877883,-0.0202891,-0.0028532,0.00681466,0.0281498,0.0289067
128,132.04,7.70749,0.876462,0.0128739,0.000329822,0.00686525,0.0284455,0.0291308
129,131.733,7.64427,0.876667,-0.0292712,-0.0115754,0.00682006,0.0284554,0.0290635
130,131.8,7.72188,0.876709,0.000699537,0.0124952,0.00686678,0.0285934,0.0292554
131,132.173,7.71883,0.876346,-0.0317192,-0.00917176,0.00686296,0.0288847,0.0289832
132,130.747,7.55611,0.877486,-0.0165581,0.00778723,0.00674595,0.0286489,0.0290809
133,132.5,7.68312,0.875988,0.0113092,-0.0240958,0.00684939,0.0292115,0.0285644
134,133.427,7.83762,0.875319,-0.0234902,0.00988397,0.00695841,0.0280457,0.0287223
135,133.673,7.83271,0.875072,-0.0346787,0.00154298,0.00694413,0.0292344,0.0288636
136,134.52,7.86604,0.87431,-0.0290199,-0.00654193,0.00697029,0.0284186,0.0289728
137,135.593,7.92421,0.873373,-0.0327278,0.00695127,0.00702749,0.0284257,0.0291967
138,134.533,7.75821,0.87415,-0.00638564,0.021786,0.00690816,0.0287245,0.029313
139,135.067,7.82485,0.873735,0.0142308,-0.0282489,0.00695726,0.0288535,0.0293839
140,134.187,7.78231,0.874513,0.00842576,0.0159958,0.00691938,0.0289016,0.0295026
141,136.26,7.8796,0.872678,0.000716637,-0.0146086,0.00701168,0.0286656,0.0290252
142,138.653,7.94278,0.870486,-0.00372009,0.0278088,0.00706772,0.0289044,0.0292073
143,138.42,7.83993,0.870559,-0.0092619,-0.0336321,0.0069859,0.0284228,0.029056
144,139.067,7.97027,0.87013,-0.0241327,0.0328171,0.00708292,0.0292297,0.0287617
145,139.84,8.09908,0.86958,0.038315,-0.0264613,0.00717753,0.0287752,0.0287779
146,139.96,8.08708,0.869449,0.0198089,0.0337044,0.00717303,0.0285415,0.0291106
147,142.227,8.30926,0.867618,0.000401249,-0.0218563,0.00733594,0.0288448,0.0287614
148,143.533,8.41987,0.866539,0.00884497,0.0275052,0.00741318,0.0291113,0.0286711
149,145.513,8.54418,0.864845,0.00693647,-0.0298411,0.00750727,0.0288466,0.0285008
150,145.787,8.56603,0.864614,0.00525375,0.0218969,0.00751275,0.0284183,0.02871
151,146.24,8.69119,0.86437,-0.0211048,-0.0139318,0.00758318,0.0291255,0.0286136
152,148.067,8.66408,0.862592,-0.00724825,0.0258681,0.00757015,0.0292139,0.0287431
153,149.04,8.78728,0.861854,-0.0119191,-0.0311045,0.00764518,0.0289466,0.0287148
154,151.053,8.90563,0.86013,0.00450203,0.0136051,0.00773438,0.0293724,0.0288464
155,150.487,8.9663,0.86076,-0.0230128,-0.00122842,0.0077637,0.0279726,0.0283062
156,152.92,9.07639,0.858635,-0.00521695,-0.00157059,0.00786635,0.029015,0.0286735
157,154.907,9.25712,0.857045,0.00167376,0.0148171,0.00799374,0.0289116,0.0285069
158,155,9.27107,0.856976,0.0334911,-0.00325204,0.00799405,0.0289893,0.0289401
159,157.093,9.33044,0.855088,0.0211483,0.0138569,0.00803864,0.0287335,0.0288867
160,156.107,9.29557,0.855973,0.0313876,0.00199908,0.00802852,0.0284586,0.0292844
161,157.153,9.37775,0.855113,0.0510079,0.00247713,0.0080789,0.0284364,0.0292944
162,159.573,9.49887,0.853035,0.0508936,-0.0161577,0.00819197,0.0293727,0.0293396
163,161.173,9.59756,0.851679,0.0377499,0.00716467,0.0082449,0.0288452,0.0297587
164,162.213,9.62553,0.850751,-0.000592715,0.00205726,0.00828279,0.0281836,0.0292388
165,162.347,9.59451,0.850564,0.0440365,0.00219954,0.0082477,0.0300894,0.0292285
166,162.2,9.55438,0.850635,0.0444461,-0.0019956,0.00822029,0.0278377,0.0293748
167,162.58,9.66002,0.850445,-0.00674795,0.00538358,0.0082688,0.0294211,0.029226
168,161.493,9.59539,0.851356,0.0650438,0.0049842,0.00820846,0.0283489,0.0297615
169,163.693,9.72659,0.849498,0.00198986,0.0126385,0.00830014,0.0286744,0.0299876
170,162.533,9.68787,0.850536,-0.0043378,0.00304797,0.00828548,0.0290988,0.0296212
171,163.407,9.80317,0.849899,0.0434522,-0.000106708,0.00834524,0.0290984,0.0295114
172,165.027,9.86959,0.848494,0.00429399,0.0135776,0.00841662,0.0289825,0.0291443
173,165.327,9.81135,0.848117,0.0502551,0.000203498,0.00839512,0.0286626,0.0292783
174,164.12,9.71552,0.849086,0.0250067,-0.0091964,0.00831362,0.0291902,0.0291589
175,165.353,9.7393,0.847966,0.0298982,0.00439704,0.008343,0.0284152,0.029214
176,164.72,9.78063,0.848624,0.0414962,-0.0160273,0.00834193,0.0290115,0.0294961
177,166.293,9.93449,0.847399,0.00177261,0.00915397,0.00843535,0.0283463,0.0295559
178,168.133,10.1035,0.845954,0.0353672,-0.0114726,0.00854103,0.0290946,0.029653
179,168.06,9.94893,0.845764,0.0219847,-0.00105319,0.00846896,0.028986,0.0289699
180,167.893,9.99212,0.845991,0.0425433,0.00988177,0.0084839,0.0297124,0.0290602
181,168.527,10.1556,0.845681,-0.00263137,-0.0108099,0.00858899,0.027965,0.0291206
182,169.053,10.1696,0.845215,0.00624502,0.0133539,0.00861178,0.0298727,0.0290613
183,171.207,10.3698,0.843546,-0.00840224,-0.020265,0.00874695,0.0288357,0.0289485
184,172.44,10.3544,0.842361,-0.00137171,0.0377607,0.00875218,0.0287006,0.0292003
185,173.62,10.4593,0.841434,0.0023145,-0.0293406,0.00880843,0.0286046,0.0290242
186,173.453,10.4865,0.841643,0.0141413,0.00160913,0.00882858,0.0283791,0.0290159
187,173.84,10.5711,0.841431,-0.00461696,-0.0105569,0.00887512,0.0287587,0.0292954
188,175.28,10.5079,0.839963,-0.0155749,0.00556321,0.00884931,0.0281805,0.0288039
189,178.027,10.6638,0.837661,-0.0209075,-0.00744483,0.00894841,0.028925,0.0286121
190,179.92,10.8119,0.836148,-0.041029,0.0124407,0.00902796,0.028499,0.0284135
191,179.627,11.0023,0.836779,-0.0165755,-0.0194714,0.00913537,0.0289816,0.0277798
192,183.28,11.2452,0.833825,-0.031867,0.0403501,0.00931514,0.0285734,0.0277478
193,186.627,11.427,0.831049,-0.0298091,-0.0578766,0.00945093,0.029126,0.0278196
194,186.52,11.4493,0.83119,-0.0118896,0.0583739,0.00945976,0.0289556,0.0277861
195,188.013,11.3167,0.829539,0.0210392,-0.0357775,0.009403,0.0285307,0.0278082
196,187.107,11.3274,0.830406,0.0102851,0.0423904,0.00939807,0.0283805,0.0282209
197,189.44,11.5281,0.828609,0.0399108,-0.048277,0.00951449,0.0288558,0.0285423
198,190.973,11.6022,0.827333,-0.0156824,0.0467699,0.00958546,0.0294216,0.0288179
199,193.42,11.8218,0.825481,-0.0412653,-0.0587511,0.00971625,0.0284611,0.0293986
200,193.693,11.8573,0.82529,-0.0172785,0.0472854,0.00972559,0.029201,0.0289809
201,194.447,11.8611,0.824593,0.00195106,-0.0523626,0.00973127,0.0289826,0.0289714
202,194.36,11.9099,0.824762,0.013292,0.0404516,0.0097409,0.0287253,0.0288
203,195.593,12.0544,0.823909,0.0117951,-0.0349645,0.00983546,0.028988,0.0290135
204,195.667,12.0507,0.823826,0.00814762,0.0409009,0.00982001,0.0289832,0.0292031
205,197.3,12.1468,0.822491,-0.0196601,-0.034175,0.00987254,0.0290985,0.0292909
206,196.627,12.1084,0.823035,-0.00354588,0.031141,0.00984012,0.0289499,0.0289344
207,198.167,12.2211,0.821834,-0.0546511,-0.0365808,0.00991828,0.0280353,0.0288526
208,199,12.2793,0.821183,-0.00307535,0.0361174,0.00996445,0.0287962,0.0283376
209,197.887,12.1906,0.822029,0.0515926,-0.0306063,0.00989731,0.0293713,0.0287161
210,196.44,12.0583,0.823103,0.0727101,0.0385211,0.00980854,0.0280629,0.028838
211,198.34,12.0793,0.821379,0.0168041,-0.0340235,0.00984184,0.0290485,0.0289125
212,198.573,12.2002,0.8214,0.0617698,0.0527502,0.00989319,0.0289119,0.0287579
213,201.553,12.5165,0.819263,0.0542575,-0.0582524,0.010053,0.0289573,0.0285237
214,203.587,12.6978,0.817761,0.0360614,0.0434688,0.0101751,0.028107,0.0283404
